channel,user,message,time
#GLOBAL,test_riccardo,test library,18:16:59
#GLOBAL,@GameServer,Purging stale game AI-asd,18:17:08
#GLOBAL,@GameServer,Purging stale game AI-asd1,18:18:32
#GLOBAL,@GameServer,Purging stale game ciao,18:18:32
#GLOBAL,@GameServer,Purging stale game AI-asd2,18:19:11
#GLOBAL,@GameServer,Purging stale game c,18:21:49
#GLOBAL,@GameServer,Purging stale game AI-asd3,18:21:49
#GLOBAL,@GameServer,Purging stale game AI4_train1,18:23:45
#GLOBAL,@GameServer,Purging stale game AI-asd4,18:23:45
#GLOBAL,@GameServer,Server heartbeat - I am alive!,18:24:28
#GLOBAL,@GameServer,Purging stale game AI4_train2,18:25:18
#GLOBAL,@GameServer,Purging stale game d,18:25:18
#GLOBAL,@GameServer,Purging stale game AI_ooh,18:25:24
#GLOBAL,@GameServer,Purging stale game AI4_train3,18:26:13
#GLOBAL,@GameServer,Purging stale game ddd,18:26:13
#GLOBAL,@GameServer,Purging stale game AI4_train4,18:27:20
#GLOBAL,@GameServer,Purging stale game AI_ooh2#GLOBAL @GameServer Purging stale game AI4_train5,18:27:20
#GLOBAL,@GameServer,Purging stale game e,18:27:36
#GLOBAL,@GameServer,Purging stale game ,18:28:36
#GLOBAL,@GameServer,Purging stale game asdasa[1;6D,18:28:36
#GLOBAL,@GameServer,Purging stale game reoioren,18:29:02
#GLOBAL,@GameServer,Purging stale game test1,18:29:24
#GLOBAL,@GameServer,Purging stale game test319,18:29:33
#GLOBAL,@GameServer,Purging stale game test8,18:30:59
#GLOBAL,@GameServer,Purging stale game AI_7_b8d23617-92e5-4a72-935f-5a7ce5fefde2,18:30:59
#GLOBAL,@GameServer,Purging stale game f,18:31:51
